-1788189249,8/20/10,595,40,75,84,,,,,,,,,,199,3,1.054,25,0,0,2,27,34.4376,2237,hillslope,0.44,8.25,124,15.14,,1,199,0.11,0.961,0,0,0.076,0.002,0.313,0.007,113.53,31.96,3.47,29.9,12.46,,,1.149
-1761027419,7/29/10,368,100,100,8,,,,,,,,,,208,3,0.83,13,1,0,1,15,36.3794,2442,hillslope,0.07,7.5,497,8,,0.98,216,0.2,0.352,0.015,0,0.036,0.017,0.941,0.075,64.59,0.04,,6.82,1.18,,,0.398
-1741556471,6/25/12,18018,13.5,29,,,,,,,,,,,43,2,0.625,5,5,3,2,15,36.2474,2417,hillslope,,8.18,278,7.1,320,0,176,0.02,0.114,0.66,0.432,0.061,0,1.179,0.043,2.91,1.52,,0.42,,,,0.88
-1689402876,9/19/09,393,6,100,400,100,,,,,,,,,606,4,0.915,23,0,2,1,26,34.4829,2220,hillslope,,,,,,0.92,14,0.92,0.97,0,0.328,0.074,0,0.745,0,105.1,45.6,2,415.28,14.68,,,0.862
-1684329574,8/5/10,710,24,18,10,141,127,75,55,,,,,,450,7,1.646,6,7,0,0,13,36.0533,393,rheocrene,0.17,7.97,572,25.1,,0.82,349,0.94,0.195,0.298,0,0,0,0.884,0.039,80.57,0.01,,,7.28,,,0.287
-1643174473,5/19/11,464,40,85,,,,,,,,,,,125,2,0.627,9,1,1,0,11,36.6579,1490,rheocrene,4.3,7.46,1217,15.5,240,0.99,218,0.21,0.067,0.9,0.9,0,0,0.942,0.065,0.85,0.09,0.18,7.29,,,,0.483
-1616823474,6/29/12,18000,272,6.5,75,,,,,,,,,,354,3,0.604,13,6,5,2,26,36.3716,2282,hillslope,,7.49,,12.5,540,0,280,0.56,0.626,0.176,0.173,0.039,0,1.064,0.008,166.46,16.15,,1.02,37.42,0.28,,0.739
-1606329838,5/24/12,1362,28,33.5,54,,,,,,,,,,116,3,1.058,19,6,0,0,25,36.1425,1867,rheocrene,0.01,7.24,713,14.7,450,0.89,114,0.37,0.178,0.295,0,0,0.005,0.779,0.007,2.13,1.8,4.12,11.65,0.23,0.67,,1.253
-1592898711,8/29/11,752,180,,,,,,,,,,,,180,1,0,22,3,2,0,27,35.1998,2072,helocrene,,,,,,1,139,0.23,0.358,0.24,0.17,0,0,1.174,0.03,,0.54,0.02,25.4,38.02,,,0.719
-1590191419,6/15/12,832,15,127,,,,,,,,,,,142,2,0.337,23,6,2,0,31,36.3942,2560,hillslope,1.9,8.17,299,5.2,260,0.96,41,0.77,0.226,0.503,0.037,0,0,0.792,0.001,0.55,1.31,0.01,23.56,4.12,,,0.671
-1575642358,6/28/11,586,4,20,,,,,,,,,,,24,2,0.451,12,3,2,0,17,36.5257,2550,hillslope,0.02,7.72,190,8.8,149,0.97,48,0.73,0.233,0.073,0.25,0,0,1.155,0.631,0.99,2.04,,0.64,0.28,1.64,,1.431
-1556957188,8/15/13,735,4.35,38,,,,,,,,,,,42,2,0.331,2,0,2,0,4,35.0444,1793,rheocrene,,,,,,0,214,0.19,0.063,0,0.61,0,0,0.422,0.018,1.9,,,0.76,,,,0.598
-1536296706,6/11/13,939,12.5,8.9,29.3,,,,,,,,,,51,3,0.968,20,0,2,0,22,34.436656,2332,hillslope,0.03,7.12,238,8,,0,331,0.84,0.623,0,0.38,0,0,0.986,0.176,9.4,2.81,,11.99,2.99,4.38,,1.441
-1534358509,6/26/10,559,76,134,,68,,,,,,,,,278,3,1.051,20,3,1,2,26,33.927,2856,hillslope,0.08,8.52,492,7.4,21,1,355,0.97,0.644,0.044,0.007,0.083,0.03,0.84,0.022,98.39,25.64,,44.73,0.14,,,0.959
-1523272065,8/15/11,846,336,250,104,,,,,,,,,,690,3,1.003,38,10,0,0,48,49.1236,1334,hillslope,0.04,7.21,331,10.3,260,0.99,35,0.81,0.442,0.257,0,0,0.028,1.127,0.164,131.33,109.46,,16.93,30.4,,6.72,1.213
-1503082099,8/12/11,865,1,2,40,,,,,,,,,,43,3,0.297,3,5,0,0,8,36.3437,552,hillslope,0.05,,,,,0,318,0.77,0.03,0.111,0,0,0,0.521,0,1.24,,,0,,,,0.022
-1488437834,5/28/12,17992,222,3553,,,,,,,,,,,3775,2,0.224,12,8,0,0,20,36.0836,1550,hillslope,,7.44,714,19.1,340,0,143,0.21,0.094,0.833,0,0,0,0.329,0,60.61,4.82,71.44,213.18,,4.44,,1.044
-1443889030,7/30/10,573,113,228,270,23,71,,,,,,,,705,5,1.369,67,14,3,3,87,49.4649,1457,hillslope,0.1,6.98,135,10.5,85,0.98,150,0.17,0.396,0.648,0.029,0.19,0,1.249,0.088,41.28,72.89,,90.75,62.27,0.11,1.03,1.372
-1415814136,4/23/00,378,22.5,31.708,90,60,85,44,,,,,,,333,6,1.684,16,9,0,0,25,36.0417,1100,rheocrene,,,,,,0,297,0.65,0.465,0.18,0,0,0,0.617,0.003,12.49,93.42,1.07,10,6.22,31.56,,1.173
-1394749964,9/7/11,1195,16.5,1.2,,,,,,,,,,,18,2,0.248,7,6,0,1,14,36.2537,2636,hillslope,,8.26,330,5.7,280,0,,,0.562,0.574,0,0.103,0,1.111,0.093,8.74,0.86,,0.34,0,,,0.443
-1388491996,5/20/11,820,180,565,,,,,,,,,,,745,2,0.553,18,2,1,0,21,36.5407,1765,hanging garden,,8.28,650,13.13,385,0.56,143,0.21,0.658,0.03,0.038,0,0,0.376,0,22.18,332.73,,131.08,3.96,,,0.795
-1364960001,5/29/12,17993,2,,,,,,,,,,,,2,1,0,3,2,0,0,5,36.2965,1604,rheocrene,,,,,,0,155,0.14,0.054,0.4,0,0,0,0.886,0.25,0.11,,,,,0,,0.092
-1361509664,9/24/10,767,24,70,1204,,,,,,,,,,1298,3,0.301,30,0,0,0,30,35.2318,2167,helocrene,1.91,6.82,203,12.6,,1,169,0.06,0.943,0,0,0,0,0.1,0.019,722.78,250.96,,237.46,12.29,,,1
-1340189326,8/2/13,606,16,19.7,3.3,10.6,,,,,,,,,50,4,1.242,10,4,1,0,15,36.711,1462,rheocrene,,,,,,0,200,0.11,0.488,0.219,0.017,0,0.271,1.371,0.194,0.64,21.71,,,1.28,,0.02,0.34
